INTERACTOR_A	INTERACTOR_B
ce4757	ce8621
ce1453	ce16160
ce1188	ce2035
ce11925	ce8006
ce16239	ce4520
ce10134	ce15322
ce18134	ce2875
ce13126	ce3650
ce13236	ce15101
ce1377	ce23
ce12032	ce16778
ce2331	ce4502
ce10379	ce13126
ce1895	ce6414
ce18750	ce3428
ce1465	ce3531
ce12834	ce16198
ce2474	ce5031
ce1136	ce9638
ce11988	ce5115
ce13812	ce6329
ce12975	ce5405
ce16867	ce17642
ce1377	ce14699
ce2248	ce412
ce12833	ce15929
ce16239	ce16688
ce13273	ce4826
ce19012	ce2615
ce13105	ce1968
ce895	ce95
ce1541	ce855
ce6373	ce8617
ce17182	ce17431
ce4271	ce57
ce10205	ce5115
ce15183	ce7877
ce2572	ce6377
ce14735	ce2533
ce16349	ce16493
ce13940	ce3160
ce3918	ce412
ce15494	ce7585
ce16688	ce2292
ce4629	ce9762
ce8110	ce9975
ce10134	ce3996
ce3102	ce895
ce2042	ce2838
ce15100	ce16822
ce13880	ce4621
ce3138	ce4682
ce2794	ce3956
ce2115	ce8924
ce4255	ce7872
ce2207	ce7872
ce1749	ce2795
ce393	ce6410
ce2378	ce5177
ce18882	ce3430
ce6753	ce8206
ce3511	ce4460
ce3380	ce8007
ce3649	ce4371
ce12832	ce7877
ce11521	ce3291
ce8924	ce967
ce3851	ce9001
ce1274	ce5073
ce11087	ce11386
ce1883	ce2473
ce2795	ce3768
ce10707	ce9198
ce16717	ce7877
ce3310	ce4943
ce17182	ce7431
ce16531	ce2313
ce11521	ce2587
ce13558	ce14508
ce3271	ce7872
ce11592	ce4826
ce2399	ce5632
ce1034	ce7026
ce14248	ce166
ce13883	ce3410
ce15248	ce8312
ce16687	ce3674
ce1541	ce3972
ce10379	ce4156
ce16779	ce8572
ce12317	ce18619
ce3160	ce7648
ce12949	ce3917
ce13816	ce1480
ce14944	ce6523
ce547	ce8373
ce6056	ce878
ce3412	ce95
ce4271	ce945
ce15010	ce3674
ce13712	ce4424
ce12834	ce172
ce3317	ce4271
ce247	ce9693
ce13424	ce3649
ce5775	ce9197
ce2730	ce8924
ce2590	ce6075
ce13817	ce14869
ce10019	ce7647
ce13193	ce2795
ce14020	ce412
ce15494	ce6159
ce3174	ce3674
ce12975	ce7495
ce1541	ce337
ce13193	ce4387
ce12931	ce15282
ce1335	ce6962
ce5324	ce5774
ce10380	ce3204
ce3316	ce5491
ce14019	ce8655
ce2175	ce8786
ce259	ce4271
