INTERACTOR_A	INTERACTOR_B
dm1275	dm2243
dm12045	dm4232
dm1951	dm9060
dm11539	dm157
dm12381	dm2135
dm3616	dm5529
dm11243	dm7412
dm1301	dm7054
dm3481	dm4998
dm3601	dm8572
dm12490	dm3808
dm12770	dm5788
dm11262	dm5403
dm12277	dm5070
dm7908	dm9056
dm5293	dm6950
dm10801	dm5927
dm1327	dm2549
dm10437	dm195
dm12217	dm1596
dm12881	dm8750
dm5799	dm6557
dm10727	dm1173
dm3044	dm6375
dm2972	dm4867
dm2787	dm8525
dm1892	dm5024
dm6178	dm7681
dm4008	dm7089
dm2161	dm2889
dm4890	dm7494
dm2272	dm3439
dm12112	dm7681
dm11679	dm6800
dm1326	dm9445
dm11484	dm8022
dm10592	dm6715
dm3521	dm8214
dm1324	dm3998
dm3015	dm8023
dm12134	dm12825
dm5403	dm7230
dm4788	dm4989
dm10291	dm791
dm2337	dm6025
dm10840	dm1279
dm157	dm8545
dm11161	dm11527
dm3469	dm7693
dm12214	dm6447
dm2738	dm859
dm5172	dm8226
dm12114	dm12198
dm5318	dm7212
dm13084	dm2645
dm13453	dm2228
dm3662	dm9004
dm11073	dm7611
dm8164	dm9202
dm6244	dm9949
dm3602	dm882
dm4920	dm6833
dm2435	dm4591
dm11436	dm12927
dm13116	dm9705
dm3221	dm7083
dm2239	dm5997
dm10613	dm12197
dm12588	dm7611
dm13039	dm3895
dm4015	dm822
dm3481	dm3481
dm5616	dm7513
dm8571	dm884
dm5677	dm9624
dm2327	dm6342
dm11947	dm4319
dm13242	dm14034
dm12632	dm3808
dm2280	dm7610
dm5228	dm6260
dm2068	dm6398
dm2398	dm7078
dm1930	dm906
dm512	dm6690
dm10837	dm9308
dm9619	dm9927
dm10271	dm8038
dm13334	dm1710
dm10210	dm2787
dm10109	dm10144
dm3505	dm4517
dm434	dm7333
dm13171	dm9467
dm6551	dm6716
dm12028	dm7278
dm6342	dm6741
dm10422	dm6448
dm4823	dm5170
dm5201	dm7888
dm1676	dm2903
dm10708	dm559
dm1077	dm3378
dm4081	dm4920
dm11794	dm1468
dm10852	dm6827
dm10712	dm13417
dm13514	dm5316
dm1647	dm262
dm11535	dm561
dm4017	dm4766
dm10727	dm4265
dm10887	dm480
dm1994	dm6432
dm1577	dm5403
dm10954	dm12109
dm7648	dm9080
dm1714	dm6045
dm2654	dm4204
dm11384	dm3857
dm7003	dm8785
dm1869	dm3065
dm11162	dm9165
dm11099	dm7772
dm1548	dm6666
dm2557	dm7079
dm6378	dm9080
dm10141	dm8999
dm3644	dm5705
dm12210	dm7920
dm4920	dm9706
dm1326	dm1734
dm2233	dm4835
dm12297	dm4957
dm6116	dm8838
dm11051	dm3751
dm4614	dm72
dm5173	dm6827
dm279	dm3570
dm13975	dm4766
dm12217	dm12248
dm7722	dm8769
